id,fulfillment_code,country_id:id
MTN9,MTN9,base.us
BOS6,BOS6,base.us
SMI1,SMI1,base.us
DTW3,DTW3,base.us
DET3,DET3,base.us
MSP9,MSP9,base.us
MSP6,MSP6,base.us
MSP7,MSP7,base.us
MEM6,MEM6,base.us
JAN1,JAN1,base.us
STL5,STL5,base.us
STL3,STL3,base.us
OMA2,OMA2,base.us
LAS5,LAS5,base.us
DBO6,DBO6,base.us
DNJ1,DNJ1,base.us
CDW5,CDW5,base.us
LGA5,LGA5,base.us
CDW9,CDW9,base.us
TEB9,TEB9,base.us
IVSC,IVSC,base.us
IVSD,IVSD,base.us
SYR1,SYR1,base.us
JFK2,JFK2,base.us
JFK7,JFK7,base.us
SWF1,SWF1,base.us
ALB1,ALB1,base.us
CLT6,CLT6,base.us
GSO1,GSO1,base.us
FAR1,FAR1,base.us
EUG5,EUG5,base.us
PIT2,PIT2,base.us
RDG1,RDG1,base.us
AVP9,AVP9,base.us
TEN1,TEN1,base.us
CAE3,CAE3,base.us
MEM1,MEM1,base.us
BNA9,BNA9,base.us
MQY1,MQY1,base.us
ATX1,ATX1,base.us
ATX2,ATX2,base.us
FTW1,FTW1,base.us
ELP1,ELP1,base.us
DDX7,DDX7,base.us
HOU5,HOU5,base.us
HOU6,HOU6,base.us
AUS2,AUS2,base.us
DAL9,DAL9,base.us
AUS3,AUS3,base.us
AFW1,AFW1,base.us
RIC9,RIC9,base.us
KRB2,KRB2,base.us
ORF3,ORF3,base.us
DSE8,DSE8,base.us
BFI9,BFI9,base.us
OLM1,OLM1,base.us
JVL1,JVL1,base.us
JVL6,JVL6,base.us
ATW1,ATW1,base.us
